Destination;Symbol;Regio
Entebbe;Entebbe;Africa
Douala;Douala;Africa
Rio de Janeiro Galeao;Rio de Janeiro;Karibik
Dar es Salaam;Dar es Salaam;Africa
Santiago de Chile;Santiago de Chile;Karibik
Curacao;Curacao;Karibik
Lanzarote;Lanzarote;Europe Spain
Rhodos;Rhodos;Europe
Beirut;Beirut;MENA
Sarasota;Sarasota;USA East
Cork;Cork;Europe
Cayo Coco;Cayo Coco;Karibik
