Dates;Destination;Group;Period;Price;Regio;Status;min_price
['13.08.2020', '26.08.2020'];Tunis;sommerferien;2020-08;138;Africa;18.10.2019;138
['13.08.2020', '26.08.2020'];Tunis;warme-reiseziele;2020-08;138;Africa;18.10.2019;138
['28.07.2020', '14.08.2020'];Tunis;sommerferien;2020-07;139;Africa;19.10.2019;138
['28.07.2020', '14.08.2020'];Tunis;warme-reiseziele;2020-07;139;Africa;19.10.2019;138
['13.08.2020', '26.08.2020'];Tunis;sommerferien;2020-08;138;Africa;18.10.2019;138
['13.08.2020', '26.08.2020'];Tunis;warme-reiseziele;2020-08;138;Africa;18.10.2019;138
['28.07.2020', '14.08.2020'];Tunis;sommerferien;2020-07;139;Africa;19.10.2019;138
['28.07.2020', '14.08.2020'];Tunis;warme-reiseziele;2020-07;139;Africa;19.10.2019;138
['28.07.2020', '14.08.2020'];Tunis;sommerferien;2020-07;139;Africa;20.10.2019;138
['28.07.2020', '14.08.2020'];Tunis;warme-reiseziele;2020-07;139;Africa;20.10.2019;138
['28.07.2020', '14.08.2020'];Tunis;sommerferien;2020-07;139;Africa;22.10.2019;138
['28.07.2020', '14.08.2020'];Tunis;warme-reiseziele;2020-07;139;Africa;22.10.2019;138
['13.08.2020', '26.08.2020'];Tunis;sommerferien;2020-08;139;Africa;26.10.2019;138
['26.07.2020', '14.08.2020'];Tunis;warme-reiseziele;2020-07;139;Africa;26.10.2019;138
['28.07.2020', '14.08.2020'];Tunis;sommerferien;2020-07;139;Africa;26.10.2019;138
['28.07.2020', '14.08.2020'];Tunis;warme-reiseziele;2020-07;139;Africa;26.10.2019;138
['28.07.2020', '14.08.2020'];Tunis;warme-reiseziele;2020-07;154;Africa;2019-12-08;138
['28.07.2020', '14.08.2020'];Tunis;sommerferien;2020-07;154;Africa;2019-12-08;138
['29.07.2020', '12.08.2020'];Bali;sommerferien;2020-07;624;Asia;19.10.2019;273
['29.07.2020', '12.08.2020'];Bali;sommerferien;2020-07;624;Asia;19.10.2019;273
['29.07.2020', '12.08.2020'];Bali;sommerferien;2020-07;630;Asia;20.10.2019;273
['30.05.2020', '12.06.2020'];Bali;warme-reiseziele;2020-05;273;Asia;20.10.2019;273
['30.05.2020', '12.06.2020'];Bali;fernreisen;2020-05;273;Asia;20.10.2019;273
['18.08.2020', '25.08.2020'];Bali;sommerferien;2020-08;570;Asia;26.10.2019;273
['21.02.2020', '08.03.2020'];Bangkok;fernreisen;2020-02;372;Asia;04.10.2019;371
['14.02.2020', '23.02.2020'];Bangkok;fernreisen;2020-02;372;Asia;05.10.2019;371
['21.04.2020', '04.05.2020'];Bangkok;fernreisen;2020-04;372;Asia;06.10.2019;371
['09.02.2020', '23.02.2020'];Bangkok;fernreisen;2020-02;371;Asia;07.10.2019;371
['21.02.2020', '08.03.2020'];Bangkok;fernreisen;2020-02;372;Asia;09.10.2019;371
['28.04.2020', '14.05.2020'];Bangkok;fernreisen;2020-04;373;Asia;18.10.2019;371
['01.12.2019', '21.12.2019'];Bangkok;fernreisen;2019-12;373;Asia;19.10.2019;371
['21.02.2020', '08.03.2020'];Bangkok;fernreisen;2020-02;372;Asia;04.10.2019;371
['14.02.2020', '23.02.2020'];Bangkok;fernreisen;2020-02;372;Asia;05.10.2019;371
['21.04.2020', '04.05.2020'];Bangkok;fernreisen;2020-04;372;Asia;06.10.2019;371
['09.02.2020', '23.02.2020'];Bangkok;fernreisen;2020-02;371;Asia;07.10.2019;371
['21.02.2020', '08.03.2020'];Bangkok;fernreisen;2020-02;372;Asia;09.10.2019;371
['28.04.2020', '14.05.2020'];Bangkok;fernreisen;2020-04;373;Asia;18.10.2019;371
['01.12.2019', '21.12.2019'];Bangkok;fernreisen;2019-12;373;Asia;19.10.2019;371
['21.02.2020', '29.02.2020'];Bangkok;fernreisen;2020-02;373;Asia;20.10.2019;371
['01.12.2019', '21.12.2019'];Bangkok;fernreisen;2019-12;373;Asia;22.10.2019;371
['23.02.2020', '12.03.2020'];Bangkok;fernreisen;2020-02;373;Asia;26.10.2019;371
['28.02.2020', '15.03.2020'];Bangkok;fernreisen;2020-02;373;Asia;26.10.2019;371
['28.02.2020', '21.03.2020'];Bangkok;fernreisen;2020-02;371;Asia;2019-12-07;371
['21.02.2020', '08.03.2020'];Bangkok;fernreisen;2020-02;371;Asia;2019-12-08;371
['10.10.2019', '17.10.2019'];Bangkok Don Mueang;last-minute;2019-10;565;Asia;04.10.2019;564
['10.10.2019', '17.10.2019'];Bangkok Don Mueang;last-minute;2019-10;565;Asia;05.10.2019;564
['10.10.2019', '17.10.2019'];Bangkok Don Mueang;last-minute;2019-10;565;Asia;04.10.2019;564
['10.10.2019', '17.10.2019'];Bangkok Don Mueang;last-minute;2019-10;565;Asia;05.10.2019;564
['03.11.2019', '17.11.2019'];Bangkok Don Mueang;last-minute;2019-11;586;Asia;20.10.2019;564
['28.10.2019', '11.11.2019'];Bangkok Don Mueang;last-minute;2019-10;564;Asia;26.10.2019;564
['05.12.2019', '14.12.2019'];Beijing International;fernreisen;2019-12;393;Asia;09.10.2019;393
['05.12.2019', '14.12.2019'];Beijing International;fernreisen;2019-12;393;Asia;09.10.2019;393
['01.07.2020', '18.07.2020'];Beijing International;fernreisen;2020-07;414;Asia;20.10.2019;393
['06.12.2019', '22.12.2019'];Hanoi;fernreisen;2019-12;391;Asia;07.10.2019;390
['06.12.2019', '22.12.2019'];Hanoi;fernreisen;2019-12;392;Asia;09.10.2019;390
['04.12.2019', '31.12.2019'];Hanoi;fernreisen;2019-12;393;Asia;18.10.2019;390
['04.02.2020', '05.03.2020'];Hanoi;fernreisen;2020-02;392;Asia;19.10.2019;390
['06.12.2019', '22.12.2019'];Hanoi;fernreisen;2019-12;391;Asia;07.10.2019;390
['06.12.2019', '22.12.2019'];Hanoi;fernreisen;2019-12;392;Asia;09.10.2019;390
['04.12.2019', '31.12.2019'];Hanoi;fernreisen;2019-12;393;Asia;18.10.2019;390
['04.02.2020', '05.03.2020'];Hanoi;fernreisen;2020-02;392;Asia;19.10.2019;390
['01.04.2020', '30.04.2020'];Hanoi;fernreisen;2020-04;392;Asia;20.10.2019;390
['01.12.2019', '08.12.2019'];Hanoi;fernreisen;2019-12;393;Asia;22.10.2019;390
['01.12.2019', '08.12.2019'];Hanoi;fernreisen;2019-12;392;Asia;26.10.2019;390
['19.04.2020', '03.05.2020'];Hanoi;fernreisen;2020-04;392;Asia;26.10.2019;390
['26.01.2020', '16.02.2020'];Hanoi;fernreisen;2020-01;390;Asia;2019-12-07;390
['21.02.2020', '19.03.2020'];Hanoi;fernreisen;2020-02;390;Asia;2019-12-08;390
['01.05.2020', '12.05.2020'];Hongkong;fernreisen;2020-05;339;Asia;04.10.2019;338
['01.05.2020', '12.05.2020'];Hongkong;fernreisen;2020-05;339;Asia;05.10.2019;338
['01.05.2020', '12.05.2020'];Hongkong;fernreisen;2020-05;339;Asia;06.10.2019;338
['09.12.2019', '16.12.2019'];Hongkong;fernreisen;2019-12;338;Asia;07.10.2019;338
['01.05.2020', '12.05.2020'];Hongkong;warme-reiseziele;2020-05;339;Asia;07.10.2019;338
['04.12.2019', '12.12.2019'];Hongkong;fernreisen;2019-12;340;Asia;09.10.2019;338
['06.05.2020', '13.05.2020'];Hongkong;warme-reiseziele;2020-05;340;Asia;09.10.2019;338
['21.02.2020', '01.03.2020'];Hongkong;fernreisen;2020-02;340;Asia;18.10.2019;338
['03.12.2019', '12.12.2019'];Hongkong;fernreisen;2019-12;340;Asia;19.10.2019;338
['01.05.2020', '12.05.2020'];Hongkong;fernreisen;2020-05;339;Asia;04.10.2019;338
['01.05.2020', '12.05.2020'];Hongkong;fernreisen;2020-05;339;Asia;05.10.2019;338
['01.05.2020', '12.05.2020'];Hongkong;fernreisen;2020-05;339;Asia;06.10.2019;338
['09.12.2019', '16.12.2019'];Hongkong;fernreisen;2019-12;338;Asia;07.10.2019;338
['01.05.2020', '12.05.2020'];Hongkong;warme-reiseziele;2020-05;339;Asia;07.10.2019;338
['04.12.2019', '12.12.2019'];Hongkong;fernreisen;2019-12;340;Asia;09.10.2019;338
['06.05.2020', '13.05.2020'];Hongkong;warme-reiseziele;2020-05;340;Asia;09.10.2019;338
['21.02.2020', '01.03.2020'];Hongkong;fernreisen;2020-02;340;Asia;18.10.2019;338
['03.12.2019', '12.12.2019'];Hongkong;fernreisen;2019-12;340;Asia;19.10.2019;338
['16.03.2020', '03.04.2020'];Hongkong;fernreisen;2020-03;340;Asia;20.10.2019;338
['01.12.2019', '08.12.2019'];Hongkong;fernreisen;2019-12;340;Asia;22.10.2019;338
['20.03.2020', '11.04.2020'];Hongkong;fernreisen;2020-03;340;Asia;26.10.2019;338
['21.02.2020', '02.03.2020'];Hongkong;fernreisen;2020-02;340;Asia;26.10.2019;338
['30.03.2020', '08.04.2020'];Hongkong;fernreisen;2020-03;338;Asia;2019-12-07;338
['28.02.2020', '21.03.2020'];Hongkong;fernreisen;2020-02;338;Asia;2019-12-08;338
['10.02.2020', '08.03.2020'];Kuala Lumpur;fernreisen;2020-02;388;Asia;04.10.2019;386
['06.03.2020', '22.03.2020'];Kuala Lumpur;fernreisen;2020-03;388;Asia;05.10.2019;386
['06.03.2020', '29.03.2020'];Kuala Lumpur;fernreisen;2020-03;388;Asia;06.10.2019;386
['22.04.2020', '29.04.2020'];Kuala Lumpur;fernreisen;2020-04;387;Asia;07.10.2019;386
['06.03.2020', '29.03.2020'];Kuala Lumpur;fernreisen;2020-03;388;Asia;09.10.2019;386
['02.12.2019', '15.12.2019'];Kuala Lumpur;fernreisen;2019-12;389;Asia;18.10.2019;386
['17.02.2020', '04.03.2020'];Kuala Lumpur;fernreisen;2020-02;388;Asia;19.10.2019;386
['10.02.2020', '08.03.2020'];Kuala Lumpur;fernreisen;2020-02;388;Asia;04.10.2019;386
['06.03.2020', '22.03.2020'];Kuala Lumpur;fernreisen;2020-03;388;Asia;05.10.2019;386
['06.03.2020', '29.03.2020'];Kuala Lumpur;fernreisen;2020-03;388;Asia;06.10.2019;386
